date,temp_avg,hum_avg,rainfall,sunshine,wind_velo,iod,nino
2009-07-31,826.9,2300.0,0.6,233.6,107.0,-0.54,0.82
2009-08-31,829.1,2252.0,0.0,238.4,112.0,-0.3,0.83
2009-09-30,848.8,2002.0,0.0,236.7,117.0,-0.02,0.89
2009-10-31,901.5,2050.0,0.0,225.2,135.0,0.03,1.13
2009-11-30,887.5,2087.0,26.700000000000003,173.9,131.0,-0.22,1.69
2009-12-31,902.6,2281.0,171.1,165.7,103.0,0.13,1.91
2010-01-31,846.1,2560.0,581.7,103.9,135.0,0.32,1.68
2010-02-28,775.6,2341.0,487.59999999999997,130.2,104.0,0.1,1.43
2010-03-31,875.8,2518.0,313.5,163.7,106.0,0.24,1.15
2010-04-30,832.7,2573.0,405.9,109.1,100.0,0.3,0.79
2010-05-31,880.8,2582.0,373.8,124.0,112.0,-0.13,0.22
2010-06-30,839.6,2411.0,90.1,156.6,110.0,-0.13,-0.31
2010-07-31,863.8,2385.0,135.8,198.3,107.0,-0.23,-0.73
2010-08-31,866.3,2345.0,15.5,227.1,114.0,-0.36,-1.12
2010-09-30,843.9,2331.0,129.29999999999998,168.8,110.0,-1.01,-1.39
2010-10-31,881.9,2384.0,276.2,146.4,116.0,-0.9,-1.45
2010-11-30,861.6,2314.0,140.8,157.3,107.0,-0.96,-1.4
2010-12-31,846.4,2526.0,214.9,60.3,122.0,-0.41,-1.43
2011-01-31,836.5,2517.0,230.5,100.8,151.0,-0.13,-1.37
2011-02-28,751.0,2285.0,212.8,95.89999999999999,128.0,-0.1,-0.92
2011-03-31,841.2,2560.0,398.5,134.8,124.0,0.1,-0.66
2011-04-30,821.9,2483.0,639.0,130.8,104.0,-0.12,-0.35
2011-05-31,859.7,2469.0,156.8,186.7,104.0,-0.04,-0.09
2011-06-30,789.7,2243.0,31.3,221.0,115.0,0.08,0.0
2011-07-31,823.6,2316.0,30.7,229.0,122.0,-0.07,-0.08
2011-08-31,816.9,2237.0,0.0,237.2,120.0,0.01,-0.38
2011-09-30,816.7,2114.0,0.0,230.8,120.0,0.45,-0.59
